COUNTRY,Display Value
VNM,48 000 [37 000-66 000]
YEM, 9 000 [7 700-11 000]
ZAF,2 900 000 [2 700 000-3 000 000]
ZMB,460 000 [430 000-510 000]
ARG,ƒ
ARM,ƒ
AUS,ƒ
AUT,ƒ
BEL,ƒ
BLZ,ƒ
BEN, 9 400 [7 700-11 000]
BTN,ƒ
BFA,23 000 [20 000-30 000]
BDI,19 000 [16 000-23 000]
KHM,ƒ
CMR,60 000 [51 000-70 000]
CHL,ƒ
CHN,ƒ
COL,ƒ
COM,ƒ
CZE,ƒ
PRK,ƒ
COD,ƒ
DNK,ƒ
SLV,ƒ
GNQ, 2 600 [2 100- 3 600]
ERI, 4 000 [2 500- 7 700]
EST,ƒ
GAB, 3 100 [2 100- 4 500]
GMB,ƒ
GEO,ƒ
DEU,ƒ
GUY,ƒ
HTI,13 000 [11 000-16 000]
HND,ƒ
HUN,ƒ
IRL,ƒ
ISR,ƒ
ITA,ƒ
JAM,ƒ
LAO,ƒ
LVA,ƒ
LBN,ƒ
LSO,41 000 [37 000-47 000]
LBR, 5 200 [4 000- 6 500]
MYS,ƒ
MDV,ƒ
MLI,ƒ
MLT,ƒ
MAR,ƒ
MOZ,200 000 [170 000-240 000]
MMR,ƒ
NAM,20 000 [16 000-25 000]
NER,ƒ
NGA,440 000 [380 000-510 000]
NOR,ƒ
OMN,ƒ
PAK,ƒ
PHL,ƒ
POL,ƒ
PRT,ƒ
KOR,ƒ
STP,ƒ
SEN,ƒ
SRB,ƒ
SLE, 4 300 [3 400- 5 400]
ZAF,460 000 [410 000-520 000]
ESP,ƒ
LKA,ƒ
SDN,ƒ
SSD,16 000 [11 000-23 000]
TJK,ƒ
THA,ƒ
TGO,19 000 [15 000-25 000]
TTO,ƒ
GBR,ƒ
TZA,230 000 [200 000-260 000]
USA,ƒ
URY,ƒ
ZWE,200 000 [180 000-230 000]
AFG,ƒ
DZA,ƒ
AGO,34 000 [24 000-50 000]
AZE,ƒ
BHS,ƒ
BGD,ƒ
BRB,ƒ
BLR,ƒ
BOL,ƒ
BWA,15 000 [14 000-16 000]
BRA,ƒ
BGR,ƒ
CAN,ƒ
CPV,ƒ
CAF,20 000 [19 000-20 000]
TCD,34 000 [28 000-41 000]
COG,13 000 [11 000-15 000]
CRI,ƒ
CIV,61 000 [53 000-70 000]
HRV,ƒ
CUB,ƒ
DJI, 1 200 [<1000- 1 400]
DOM,ƒ
ECU,ƒ
EGY,ƒ
ETH,180 000 [160 000-210 000]
FJI,ƒ
FIN,ƒ
FRA,ƒ
GHA,31 000 [26 000-37 000]
GRC,ƒ
GTM,ƒ
GIN,11 000 [8 800-15 000]
GNB, 3 100 [2 500- 3 900]
ISL,ƒ
IND,ƒ
IDN,ƒ
IRN,ƒ
JPN,ƒ
KAZ,ƒ
KEN,220 000 [190 000-250 000]
KGZ,ƒ
LTU,ƒ
LUX,ƒ
MDG,ƒ
MWI,170 000 [150 000-200 000]
MRT,ƒ
MUS,ƒ
MEX,ƒ
MNG,ƒ
NPL,ƒ
NLD,ƒ
NZL,ƒ
NIC,ƒ
PAN,ƒ
PNG, 3 500 [2 700- 4 500]
PRY,ƒ
PER,ƒ
MDA,ƒ
ROU,ƒ
RUS,ƒ
RWA,27 000 [22 000-32 000]
SGP,ƒ
SVK,ƒ
SVN,ƒ
SOM,ƒ
SUR,ƒ
SWZ,17 000 [15 000-19 000]
SWE,ƒ
CHE,ƒ
TUN,ƒ
TUR,ƒ
UGA,190 000 [170 000-220 000]
UKR,ƒ
UZB,ƒ
VEN,ƒ
VNM,ƒ
YEM,ƒ
ZMB,170 000 [150 000-200 000]
